City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Mahebourg,MU,72.25,light rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
1,Bluff,NZ,42.94,overcast clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
2,Bethel,US,65.52,overcast clouds,41.3712,-73.414,Courtyard by Marriott Danbury
3,Yueyang,CN,80.78,clear sky,29.3333,113.0919,Delong Fortune Hotel
4,Punta Arenas,CL,46.51,clear sky,-53.15,-70.9167,Hotel Hain
5,Busselton,AU,51.85,few clouds,-33.65,115.3333,Observatory Guest House
6,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
7,Liwale,TZ,84.45,few clouds,-9.7667,37.9333,Tumaini Tulivu Lodge
8,Pisco,PE,64.45,haze,-13.7,-76.2167,Hotel San Isidro Oficial
9,Foam Lake,CA,53.85,few clouds,51.65,-103.5343,Foam Lake Campground
10,Carnarvon,AU,66.92,clear sky,-24.8667,113.6333,Hospitality Carnarvon
11,Tibati,CM,74.19,moderate rain,6.4667,12.6333,Tibati Hotel
12,Bengkulu,ID,76.3,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
13,Bambous Virieux,MU,72.21,light rain,-20.3428,57.7575,Casa Tia Villa
14,Atuona,PF,77.02,few clouds,-9.8,-139.0333,Hôtel Hiva Oa Hanakee Lodge
15,Constitucion,CL,50.16,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
16,Phalaborwa,ZA,90.97,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
17,Sur,OM,87.57,clear sky,22.5667,59.5289,Sur Plaza Hotel
18,Hermanus,ZA,56.8,light rain,-34.4187,19.2345,Misty Waves Boutique Hotel
19,Yurecuaro,MX,66.92,broken clouds,20.3333,-102.3,Hotel el Castillo
20,Mataura,NZ,36.81,overcast clouds,-46.1927,168.8643,Ellie's Villa
21,Puerto Ayora,EC,67.55,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
22,Scottsbluff,US,64.78,clear sky,41.8666,-103.6672,Hampton Inn & Suites Scottsbluff-Conference Center
23,Japura,ID,74.88,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
24,Karratha,AU,73.45,light rain,-20.7377,116.8463,ibis Styles Karratha
25,Deogarh,IN,78.46,overcast clouds,21.5333,84.7333,Amit Henej House
26,Arraial Do Cabo,BR,67.71,clear sky,-22.9661,-42.0278,Pousada Porto Praia
27,Kismayo,SO,76.87,scattered clouds,-0.3582,42.5454,Agan-Hotel
28,Challans,FR,68.97,clear sky,46.8436,-1.8749,Citotel Le Challans
30,Ambilobe,MG,77.0,scattered clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
31,Kapaa,US,73.38,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
32,Cape Town,ZA,61.27,overcast clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
33,Torbay,CA,59.88,overcast clouds,47.6666,-52.7314,Gallows Cove
34,Faanui,PF,78.76,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
35,Ribeira Grande,PT,75.6,light intensity shower rain,38.5167,-28.7,Quinta da Meia Eira
36,Sakakah,SA,97.45,clear sky,29.9697,40.2064,Fakhamat Al Orjoana Apartment
37,East London,ZA,66.04,broken clouds,-33.0153,27.9116,Tu Casa
38,Finnsnes,NO,50.61,light rain,69.2296,17.9811,Finnsnes Hotel - A SNR Hotel
39,Bathsheba,BB,88.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
40,Ushuaia,AR,40.66,scattered clouds,-54.8,-68.3,Albatross Hotel
41,Laguna,US,63.32,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
42,Bud,US,78.21,broken clouds,39.447,-86.1758,Ted McQuinn Trust
43,Fortuna,US,53.65,overcast clouds,40.5982,-124.1573,Super 8 by Wyndham Fortuna
44,Rikitea,PF,72.32,clear sky,-23.1203,-134.9692,People ThankYou
45,Cocorit,MX,80.94,clear sky,27.5833,-109.9667,Kaba Motel
46,Grand Gaube,MU,72.37,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
47,Lebu,CL,44.78,overcast clouds,-37.6167,-73.65,Hostal Las Lilas
48,Byron Bay,AU,51.76,clear sky,-28.65,153.6167,Backpackers Inn
49,Hervey Bay,AU,67.01,clear sky,-25.2986,152.8535,Shelly Bay Resort
51,Jamestown,US,74.52,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
52,Port Alfred,ZA,62.19,broken clouds,-33.5906,26.891,The Halyards Hotel
53,Qaanaaq,GL,29.95,clear sky,77.484,-69.3632,Qaanaaq Hotel
55,Bollnas,SE,51.58,overcast clouds,61.3482,16.3946,Grand Hotel
56,Sitka,US,44.49,clear sky,57.0531,-135.33,Westmark Sitka
