City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mahebourg,MU,-20.4081,57.7,72.25,79,7,14.92,light rain
1,Bluff,NZ,-46.6,168.3333,42.94,82,97,8.3,overcast clouds
2,Bethel,US,41.3712,-73.414,65.52,63,100,0.0,overcast clouds
3,Yueyang,CN,29.3333,113.0919,80.78,47,4,6.42,clear sky
4,Punta Arenas,CL,-53.15,-70.9167,46.51,45,0,20.71,clear sky
5,Busselton,AU,-33.65,115.3333,51.85,88,17,5.28,few clouds
6,Georgetown,MY,5.4112,100.3354,84.13,88,20,3.44,few clouds
7,Liwale,TZ,-9.7667,37.9333,84.45,21,14,6.06,few clouds
8,Pisco,PE,-13.7,-76.2167,64.45,72,24,12.66,haze
9,Foam Lake,CA,51.65,-103.5343,53.85,65,14,3.71,few clouds
10,Carnarvon,AU,-24.8667,113.6333,66.92,74,0,17.49,clear sky
11,Tibati,CM,6.4667,12.6333,74.19,86,88,1.34,moderate rain
12,Bengkulu,ID,-3.8004,102.2655,76.3,88,97,4.07,overcast clouds
13,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,9,14.63,light rain
14,Atuona,PF,-9.8,-139.0333,77.02,71,18,19.89,few clouds
15,Constitucion,CL,-35.3333,-72.4167,50.16,93,100,8.25,overcast clouds
16,Phalaborwa,ZA,-23.943,31.1411,90.97,14,0,8.23,clear sky
17,Sur,OM,22.5667,59.5289,87.57,61,3,0.83,clear sky
18,Hermanus,ZA,-34.4187,19.2345,56.8,72,100,10.76,light rain
19,Yurecuaro,MX,20.3333,-102.3,66.92,72,68,5.35,broken clouds
20,Mataura,NZ,-46.1927,168.8643,36.81,97,88,3.44,overcast clouds
21,Puerto Ayora,EC,-0.7393,-90.3518,67.55,86,79,1.99,broken clouds
22,Scottsbluff,US,41.8666,-103.6672,64.78,64,0,5.75,clear sky
23,Japura,ID,-0.3167,102.35,74.88,95,97,1.72,overcast clouds
24,Karratha,AU,-20.7377,116.8463,73.45,55,5,6.69,light rain
25,Deogarh,IN,21.5333,84.7333,78.46,91,100,2.46,overcast clouds
26,Arraial Do Cabo,BR,-22.9661,-42.0278,67.71,62,4,15.17,clear sky
27,Kismayo,SO,-0.3582,42.5454,76.87,76,43,14.83,scattered clouds
28,Challans,FR,46.8436,-1.8749,68.97,31,5,8.75,clear sky
29,Chernaya Kholunitsa,RU,58.8511,51.7154,54.91,98,100,11.23,light rain
30,Ambilobe,MG,-13.2,49.05,77.0,51,46,3.56,scattered clouds
31,Kapaa,US,22.0752,-159.319,73.38,83,0,8.05,clear sky
32,Cape Town,ZA,-33.9258,18.4232,61.27,64,100,5.01,overcast clouds
33,Torbay,CA,47.6666,-52.7314,59.88,76,91,10.0,overcast clouds
34,Faanui,PF,-16.4833,-151.75,78.76,61,94,19.35,overcast clouds
35,Ribeira Grande,PT,38.5167,-28.7,75.6,88,75,16.11,light intensity shower rain
36,Sakakah,SA,29.9697,40.2064,97.45,11,0,10.27,clear sky
37,East London,ZA,-33.0153,27.9116,66.04,78,61,5.17,broken clouds
38,Finnsnes,NO,69.2296,17.9811,50.61,75,95,5.73,light rain
39,Bathsheba,BB,13.2167,-59.5167,88.41,74,75,14.97,broken clouds
40,Ushuaia,AR,-54.8,-68.3,40.66,70,40,33.38,scattered clouds
41,Laguna,US,38.421,-121.4238,63.32,81,0,5.75,clear sky
42,Bud,US,39.447,-86.1758,78.21,72,81,5.84,broken clouds
43,Fortuna,US,40.5982,-124.1573,53.65,91,100,3.0,overcast clouds
44,Rikitea,PF,-23.1203,-134.9692,72.32,75,0,18.68,clear sky
45,Cocorit,MX,27.5833,-109.9667,80.94,60,0,5.12,clear sky
46,Grand Gaube,MU,-20.0064,57.6608,72.37,70,0,8.01,clear sky
47,Lebu,CL,-37.6167,-73.65,44.78,78,99,15.19,overcast clouds
48,Byron Bay,AU,-28.65,153.6167,51.76,58,0,6.85,clear sky
49,Hervey Bay,AU,-25.2986,152.8535,67.01,92,1,15.99,clear sky
50,Henties Bay,NA,-22.116,14.2845,59.63,83,22,11.05,few clouds
51,Jamestown,US,42.097,-79.2353,74.52,71,0,5.75,clear sky
52,Port Alfred,ZA,-33.5906,26.891,62.19,93,73,5.01,broken clouds
53,Qaanaaq,GL,77.484,-69.3632,29.95,63,1,5.14,clear sky
54,Hrymayliv,UA,49.3321,26.0111,58.93,61,100,6.6,overcast clouds
55,Bollnas,SE,61.3482,16.3946,51.58,79,99,8.5,overcast clouds
56,Sitka,US,57.0531,-135.33,44.49,100,0,3.44,clear sky
57,Dombarovskiy,RU,50.7587,59.5386,64.78,64,90,5.21,overcast clouds
58,Vaini,TO,-21.2,-175.2,73.56,94,40,9.22,scattered clouds
59,Cabo San Lucas,MX,22.8909,-109.9124,86.5,74,83,5.21,broken clouds
60,Comodoro Rivadavia,AR,-45.8667,-67.5,49.86,27,0,9.22,clear sky
61,Peno,RU,56.9262,32.7426,52.45,74,100,10.07,overcast clouds
62,Ozernovskiy,RU,51.5,156.5167,50.77,82,3,18.79,light rain
63,Aklavik,CA,68.2191,-135.0107,37.54,93,83,9.35,broken clouds
64,Nizhnekamsk,RU,55.6366,51.8245,61.59,100,100,11.18,overcast clouds
65,San-Pedro,CI,4.7485,-6.6363,79.56,77,89,11.65,overcast clouds
66,Sorland,NO,67.667,12.6934,53.46,80,40,21.97,scattered clouds
67,Port Elizabeth,ZA,-33.918,25.5701,64.09,84,83,7.0,broken clouds
68,Norman Wells,CA,65.282,-126.8329,43.29,85,5,4.76,clear sky
69,Barrow,US,71.2906,-156.7887,33.82,93,100,24.16,overcast clouds
70,Puerto Del Rosario,ES,28.5004,-13.8627,83.95,58,40,18.41,scattered clouds
71,Wajir,KE,1.7471,40.0573,91.44,26,15,14.07,few clouds
72,Castro,BR,-24.7911,-50.0119,58.95,60,35,10.07,scattered clouds
73,Kafanchan,NG,9.5833,8.3,71.64,84,100,6.76,overcast clouds
74,Kavieng,PG,-2.5744,150.7967,81.77,75,32,11.23,light rain
75,Zhaodong,CN,46.0833,125.9833,60.31,92,0,13.44,clear sky
76,Ixtapa,MX,20.7,-105.2,81.23,89,75,4.61,broken clouds
77,Bredasdorp,ZA,-34.5322,20.0403,56.91,71,100,11.07,overcast clouds
78,Port Hardy,CA,50.6996,-127.4199,48.45,84,21,2.06,few clouds
79,Makakilo City,US,21.3469,-158.0858,73.56,87,20,3.44,few clouds
80,Akdagmadeni,TR,39.6603,35.8836,81.55,20,29,5.08,scattered clouds
81,Athabasca,CA,54.7169,-113.2854,51.26,84,7,2.39,clear sky
82,Sabha,LY,27.0377,14.4283,98.87,8,0,1.86,clear sky
83,Avarua,CK,-21.2078,-159.775,69.85,88,20,2.3,few clouds
84,Meulaboh,ID,4.1363,96.1285,76.75,85,64,1.9,moderate rain
85,Albany,US,42.6001,-73.9662,62.42,58,100,1.66,overcast clouds
86,Saldanha,ZA,-33.0117,17.9442,57.6,73,100,16.06,overcast clouds
87,Hilo,US,19.7297,-155.09,83.28,87,14,4.0,few clouds
88,Kang,BW,-23.6752,22.7876,85.91,8,0,6.44,clear sky
89,Duncan,US,34.5023,-97.9578,82.29,69,0,12.66,clear sky
90,Khatanga,RU,71.9667,102.5,26.47,87,70,8.72,broken clouds
91,Iesolo,IT,45.5331,12.6448,65.1,65,66,4.68,broken clouds
92,Jalu,LY,29.0331,21.5482,94.77,14,0,6.64,clear sky
93,Hithadhoo,MV,-0.6,73.0833,82.44,69,11,7.61,few clouds
94,Nikolskoye,RU,59.7035,30.7861,57.09,91,90,9.01,overcast clouds
95,Margate,GB,51.3813,1.3862,64.69,47,28,8.01,scattered clouds
96,Tahta,EG,26.7693,31.5021,92.23,18,0,15.01,clear sky
